"fullHour","team","score","team 2"
"2023/11/21 20:45","Grèce","- : -","France"
"2023/10/16 20:45","Grèce","- : -","Pays-Bas"
"2023/10/13 20:45","Irlande","- : -","Grèce"
"2023/09/10 20:45","Grèce","- : -","Gibraltar"
"2023/09/07 20:45","Pays-Bas","- : -","Grèce"
"2023/06/19 20:45","France","- : -","Grèce"
"2023/06/16 20:45","Grèce","- : -","Irlande"
"2023/03/27 18:00","Grèce","0 : 0","Lituanie"
"2023/03/24 20:45","Gibraltar","0 : 3","Grèce"
"2022/11/20 20:15","Hongrie","2 : 1","Grèce"
"2022/11/17 18:00","Malte","2 : 2","Grèce"
"2022/09/27 20:45","Grèce","3 : 1","Irlande du Nord"
"2022/09/24 20:45","Chypre","1 : 0","Grèce"
"2022/06/12 20:45","Grèce","2 : 0","Kosovo"
"2022/06/09 20:45","Grèce","3 : 0","Chypre"
"2022/06/05 20:45","Kosovo","0 : 1","Grèce"
"2022/06/02 20:45","Irlande du Nord","0 : 1","Grèce"
"2022/03/28 20:00","Monténégro","1 : 0","Grèce"
"2022/03/25 19:15","Roumanie","0 : 1","Grèce"
"2021/11/14 20:45","Grèce","1 : 1","Kosovo"
"2021/11/11 20:45","Grèce","0 : 1","Espagne"
"2021/10/12 20:45","Suède","2 : 0","Grèce"
"2021/10/09 18:00","Géorgie","0 : 2","Grèce"
"2021/09/08 20:45","Grèce","2 : 1","Suède"
"2021/09/05 20:45","Kosovo","1 : 1","Grèce"
"2021/09/01 20:45","Suisse","2 : 1","Grèce"
"2021/06/06 19:00","Norvège","1 : 2","Grèce"
"2021/06/03 20:45","Belgique","1 : 1","Grèce"
"2021/03/31 20:45","Grèce","1 : 1","Géorgie"
"2021/03/28 16:00","Grèce","2 : 1","Honduras"
"2021/03/25 20:45","Espagne","1 : 1","Grèce"
"2020/11/18 20:45","Grèce","0 : 0","Slovénie"
"2020/11/15 20:45","Moldavie","0 : 2","Grèce"
"2020/11/11 15:45","Grèce","2 : 1","Chypre"
"2020/10/14 20:45","Grèce","0 : 0","Kosovo"
"2020/10/11 20:45","Grèce","2 : 0","Moldavie"
"2020/10/07 20:30","Autriche","2 : 1","Grèce"
"2020/09/06 20:45","Kosovo","1 : 2","Grèce"
"2020/09/03 20:45","Slovénie","0 : 0","Grèce"
"2019/11/18 20:45","Grèce","2 : 1","Finlande"
"2019/11/15 18:00","Arménie","0 : 1","Grèce"
"2019/10/15 20:45","Grèce","2 : 1","Bosnie-Herzégovine"
"2019/10/12 20:45","Italie","2 : 0","Grèce"
"2019/09/08 20:45","Grèce","1 : 1","Liechtenstein"
"2019/09/05 20:45","Finlande","1 : 0","Grèce"
"2019/06/11 20:45","Grèce","2 : 3","Arménie"
"2019/06/08 20:45","Grèce","0 : 3","Italie"
"2019/05/30 20:00","Turquie","2 : 1","Grèce"
"2019/03/26 20:45","Bosnie-Herzégovine","2 : 2","Grèce"
"2019/03/23 20:45","Liechtenstein","0 : 2","Grèce"